"GB_Accession" "Start_of_CDS" "End_of_CDS" "Type" "Product" "Protein_ID" "Gene"
"1...564" "KM411311.1" 1 279 "gene" "RNA-directed RNA polymerase 1" "ALB01076.1" "RdRp1"
"1...565" "KM411308.1" 1 779 "gene" NA NA "RdRp1"
"2...566" "KM411308.1" 1 111 "mRNA" "truncated RNA-directed RNA polymerase 1" "ALB01073.1" NA
"1...567" "KM411307.1" 1 641 "gene" "RNA-directed RNA polymerase 1" "ALB01072.1" "RdRp1"
"1...568" "KM411304.1" 1 641 "gene" "RNA-directed RNA polymerase 1" "ALB01069.1" "RdRp1"
"1...569" "KT225340.1" 1 2069 "gene" NA NA "LecRK"
"2...570" "KT225340.1" 1 1076 "mRNA" NA NA NA
"3...571" "KT225340.1" 1157 2069 NA "clade XV lectin receptor kinase" "AKV93708.1" NA
"1...572" "KT225339.1" 1 1986 "gene" "clade XV lectin receptor kinase" "AKV93707.1" "LecRK"
"1...573" "KT225338.1" 1 2016 "gene" "clade XIV lectin receptor kinase" "AKV93706.1" "LecRK"
"1...574" "KT225337.1" 1 2016 "gene" "clade XIV lectin receptor kinase" "AKV93705.1" "LecRK"
"1...575" "KT225336.1" 1 2010 "gene" "clade XIII lectin receptor kinase" "AKV93704.1" "LecRK"
"1...576" "KT225335.1" 1 2010 "gene" "clade XIII lectin receptor kinase" "AKV93703.1" "LecRK"
"1...577" "KT225334.1" 1 3568 "gene" NA NA "LecRK"
"2...578" "KT225334.1" 1 1240 "mRNA" NA NA NA
"3...579" "KT225334.1" 2742 3568 NA "clade XVI lectin receptor kinase" "AKV93702.1" NA
"1...580" "KT225333.1" 1 4464 "gene" NA NA "LecRK"
"2...581" "KT225333.1" 1 1240 "mRNA" NA NA NA
"3...582" "KT225333.1" 3638 4464 NA "clade XVI lectin receptor kinase" "AKV93701.1" NA
"1...583" "KT225332.1" 1 2671 "gene" NA NA "LecRK"
"2...584" "KT225332.1" 1 388 "mRNA" NA NA NA
"3...585" "KT225332.1" 407 816 NA NA NA NA
"4...586" "KT225332.1" 863 1214 NA NA NA NA
"5...587" "KT225332.1" 2415 2548 NA NA NA NA
"6...588" "KT225332.1" 2591 2671 NA "clade XVI lectin receptor kinase" "AKV93700.1" NA
"1...589" "KT225331.1" 1 4866 "gene" NA NA "LecRK"
"2...590" "KT225331.1" 1 1234 "mRNA" NA NA NA
"3...591" "KT225331.1" 4070 4866 NA "clade XVI lectin receptor kinase" "AKV93699.1" NA
"1...592" "KT225330.1" 1 1753 "gene" NA NA "LecRK"
"2...593" "KT225330.1" 1 273 "mRNA" NA NA NA
"3...594" "KT225330.1" 299 896 NA NA NA NA
"4...595" "KT225330.1" 943 1306 NA NA NA NA
"5...596" "KT225330.1" 1366 1753 NA "clade XII lectin receptor kinase" "AKV93698.1" NA
"1...597" "KT225329.1" 1 2040 "gene" "clade XII lectin receptor kinase" "AKV93697.1" "LecRK"
"1...598" "KT225328.1" 1 2046 "gene" "clade XI lectin receptor kinase" "AKV93696.1" "LecRK"
"1...599" "KT225327.1" 1 2025 "gene" "clade XI lectin receptor kinase" "AKV93695.1" "LecRK"
"1...600" "KT225326.1" 1 2046 "gene" "clade XI lectin receptor kinase" "AKV93694.1" "LecRK"
"1...601" "KT225325.1" 1 2242 "gene" NA NA "LecRK"
"2...602" "KT225325.1" 1 707 "mRNA" NA NA NA
"3...603" "KT225325.1" 755 1457 NA NA NA NA
"4...604" "KT225325.1" 1979 2242 NA "clade XI lectin receptor kinase" "AKV93693.1" NA
"1...605" "KT225324.1" 1 1342 "gene" NA NA "LecRK"
"2...606" "KT225324.1" 1 427 "mRNA" NA NA NA
"3...607" "KT225324.1" 495 1342 NA "lectin receptor kinase" "AKV93692.1" NA
"1...608" "KT225323.1" 1 2076 "gene" "lectin receptor kinase" "AKV93691.1" "LecRK"
"1...609" "KT225322.1" 1 2076 "gene" "lectin receptor kinase" "AKV93690.1" "LecRK"
"1...610" "KT225321.1" 1 2016 "gene" "clade X lectin receptor kinase" "AKV93689.1" "LecRK"
"1...611" "KT225320.1" 1 2172 "gene" NA NA "LecRK"
"2...612" "KT225320.1" 1 391 "mRNA" NA NA NA
"3...613" "KT225320.1" 483 1199 NA NA NA NA
"4...614" "KT225320.1" 1313 2172 NA "lectin receptor kinase" "AKV93688.1" NA
"1...615" "KT225319.1" 1 2124 "gene" "clade XVII lectin receptor kinase" "AKV93687.1" "LecRK"
"1...616" "KT225318.1" 1 2124 "gene" "clade XVII lectin receptor kinase" "AKV93686.1" "LecRK"
"1...617" "KT225317.1" 1 2124 "gene" "clade XVIII lectin receptor kinase" "AKV93685.1" "LecRK"
"1...618" "KT225316.1" 1 1140 "gene" NA NA "LecRK"
"2...619" "KT225316.1" 1 254 "mRNA" NA NA NA
"3...620" "KT225316.1" 306 1140 NA "clade XVIII lectin receptor kinase" "AKV93684.1" NA
"1...621" "KT225315.1" 1 1950 "gene" "clade IX lectin receptor kinase" "AKV93683.1" "LecRK"
"1...622" "KT225314.1" 1 1923 "gene" NA NA "LecRK"
"2...623" "KT225314.1" 1 510 "mRNA" NA NA NA
"3...624" "KT225314.1" 835 1186 NA NA NA NA
"4...625" "KT225314.1" 1328 1923 NA "clade IX lectin receptor kinase" "AKV93682.1" NA
"1...626" "KT225313.1" 1 2133 "gene" "clade VIII lectin receptor kinase" "AKV93681.1" "LecRK"
"1...627" "KT225312.1" 1 2130 "gene" "clade VIII lectin receptor kinase" "AKV93680.1" "LecRK"
"1...628" "KT225311.1" 1 2151 "gene" "clade VIII lectin receptor kinase" "AKV93679.1" "LecRK"
"1...629" "KT225310.1" 1 2151 "gene" "clade VIII lectin receptor kinase" "AKV93678.1" "LecRK"
"1...630" "KT225309.1" 1 2037 "gene" "clade VII lectin receptor kinase" "AKV93677.1" "LecRK"
"1...631" "KT225308.1" 1 2088 "gene" "clade VII lectin receptor kinase" "AKV93676.1" "LecRK"
"1...632" "KT225307.1" 1 2097 "gene" "clade VII lectin receptor kinase" "AKV93675.1" "LecRK"
"1...633" "KT225306.1" 1 2037 "gene" "clade VI lectin receptor kinase" "AKV93674.1" "LecRK"
"1...634" "KT225305.1" 1 2040 "gene" "clade VI lectin receptor kinase" "AKV93673.1" "LecRK"
"1...635" "KT225304.1" 1 2010 "gene" "clade IV lectin receptor kinase" "AKV93672.1" "LecRK"
"1...636" "KT225303.1" 1 2001 "gene" "clade IV lectin receptor kinase" "AKV93671.1" "LecRK"
"1...637" "KP763813.1" 1 435 "gene" "ferredoxin" "AKQ98361.1" "Fd"
"1...638" "KP017278.1" 1 237 "gene" "defensin-like protein 1.2" "AKQ53348.1" "PDF1.2"
"1...639" "KP017277.1" 1 2229 "gene" "putative cullin-1" "AKQ53347.1" "CUL1"
"1...640" "KP017276.1" 1 712 "gene" NA NA "SKP1L1"
"2...641" "KP017276.1" 1 516 "CDS" "SKP1-like protein" "AKQ53346.1" NA
"3...642" "KP017276.1" 517 712 "3'UTR" NA NA NA
"1...643" "KP017275.1" 1 642 "gene" NA NA "SKP1.3"
"2...644" "KP017275.1" 1 462 "CDS" "SKP1-like protein" "AKQ53345.1" NA
"3...645" "KP017275.1" 463 642 "3'UTR" NA NA NA
"1...646" "KP017274.1" 1 647 "gene" NA NA "SKP1.2"
"2...647" "KP017274.1" 1 471 "CDS" "SKP1-like protein" "AKQ53344.1" NA
"3...648" "KP017274.1" 472 647 "3'UTR" NA NA NA
"1...649" "KP017273.1" 1 668 "gene" NA NA "SKP1.1"
"2...650" "KP017273.1" 1 468 "CDS" "SCF ubiquitin ligase" "AKQ53343.1" NA
"1...651" "LC015775.1" 1 4422 "gene" "PDR-type ACB transporter" NA "NbPDR12"
"1...652" "LC015774.1" 1 4266 "gene" "PDR-type ACB transporter" NA "NbPDR11"
"1...653" "LC015773.1" 1 4293 "gene" "PDR-type ACB transporter" NA "NbPDR10"
"1...654" "LC015772.1" 1 4263 "gene" "PDR-type ACB transporter" NA "NbPDR9"
"1...655" "LC015771.1" 1 4389 "gene" "PDR-type ACB transporter" NA "NbPDR8"
"1...656" "LC015770.1" 1 4386 "gene" "PDR-type ACB transporter" NA "NbPDR7"
"1...657" "LC015769.1" 1 4497 "gene" "PDR-type ACB transporter" NA "NbPDR6b"
"1...658" "LC015768.1" 1 4497 "gene" "PDR-type ACB transporter" NA "NbPDR6a"
"1...659" "LC015767.1" 1 4263 "gene" "PDR-type ACB transporter" NA "NbPDR5b"
"1...660" "LC015766.1" 1 4263 "gene" "PDR-type ACB transporter" NA "NbPDR5a"
"1...661" "LC015765.1" 1 4359 "gene" "PDR-type ACB transporter" NA "NbPDR4b"
"1...662" "LC015764.1" 1 4359 "gene" "PDR-type ACB transporter" NA "NbPDR4a"
"1...663" "LC015763.1" 1 4278 "gene" "PDR-type ACB transporter" NA "NbPDR3"
"1...664" "LC015762.1" 1 4302 "gene" "PDR-type ACB transporter" NA "NbPDR2b"
"1...665" "LC015761.1" 1 4311 "gene" "PDR-type ACB transporter" NA "NbPDR2a"
"1...666" "LC015760.1" 1 4308 "gene" "PDR-type ACB transporter" NA "NbPDR1b"
"1...667" "LC015759.1" 1 4305 "gene" "PDR-type ACB transporter" NA "NbPDR1a"
"1...668" "LC015758.1" 1 1815 "gene" "hydroxy 3 methylglutaryl coenzyme A reductase" NA "NbHMGR1"
"1...669" "LC015757.1" 1 1215 "gene" "acetoacetyl-coenzyme A thiolase" NA "NbACAT1a"
"1...670" "LC015756.1" 1 1389 "gene" "hydroxymethylglutaryl coenzyme A synthase" NA "NbHMGS1a"
"1...671" "LC015755.1" 1 1647 "gene" "5-epi-aristolochene synthase" NA "NbEAS1a"
"1...672" "LC015754.1" 1 1269 "gene" "mevalonate 5-disphosphate decarboxylase" NA "NbMVD1a"
"1...673" "LC015753.1" 1 1029 "gene" "farnesyl diphosphate synthase" NA "NbFPPS1a"
"1...674" "KR942297.1" 1 3156 "CDS" "argonaute 1L" "AKK23625.1" "AGO1-1L"
"1...675" "KR942296.1" 1 3174 "CDS" "argonaute 1H" "AKK23624.1" "AGO1-1H"
"1...676" "KR559678.1" 1 744 "gene" "WRKY transcription factor" "AKM95893.1" "WRKY79"
"1...677" "KP456146.1" 1 1047 "gene" NA NA "RABG3f"
"2...678" "KP456146.1" 136 756 "CDS" "Rab small GTPase" "AKK23734.1" NA
"1...679" "KJ748371.1" 1 1002 "CDS" "CK2 alpha subunit" "AIT18344.1" "catalytic subunit"
"1...680" "KJ413940.1" 1 2133 "gene" "oligopeptidase B" "AJA04996.1" "OPB"
"1...681" "KM986325.1" 1 1305 "gene" NA NA "GAPC3"
"2...682" "KM986325.1" 1 1014 "CDS" "cytosolic glyceraldehyde-3-phosphate dehydrogenase 3" "AKH15662.1" "GAPc"
"3...683" "KM986325.1" 1015 1305 "3'UTR" NA NA NA
"1...684" "KM986324.1" 1 1315 "gene" NA NA "GAPC2"
"2...685" "KM986324.1" 1 1014 "CDS" "cytosolic glyceraldehyde-3-phosphate dehydrogenase 2" "AKH15661.1" "GAPc"
"3...686" "KM986324.1" 1015 1315 "3'UTR" NA NA NA
"1...687" "KM986323.1" 1 1242 "gene" NA NA "GAPC1"
"2...688" "KM986323.1" 1 1023 "CDS" "cytosolic glyceraldehyde-3-phosphate dehydrogenase 1" "AKH15660.1" "GAPc"
"3...689" "KM986323.1" 1024 1242 "3'UTR" NA NA NA
"1...690" "KP247444.1" 1 1056 "CDS" "BES1/BZR1" "AKF02520.1" NA
"1...691" "LC008357.1" 1 960 "gene" "Aminocyclopropanecarboxylate oxidase" NA "NbACO1b"
"1...692" "LC008356.1" 1 1458 "gene" "S-adenosylhomocysteine hydrolase" NA "NbSAHH1a"
"1...693" "LC008355.1" 1 951 "gene" "Aminocyclopropanecarboxylate oxidase" NA "NbACO2a"
"1...694" "LC008354.1" 1 1659 "gene" "Cystathionine gamma synthase" NA "NbCGS1a"
"1...695" "LC008353.1" 1 1173 "gene" "S-adenosylmethionine synthetase" NA "NbSAMS1a"
"1...696" "LC008352.1" 1 960 "gene" "Aminocyclopropanecarboxylate oxidase" NA "NbACO1a"
"1...697" "KP019941.1" 1 666 "gene" "MADS-box-containing protein" "AJY26920.1" "MADS1"
"1...698" "KJ830947.1" 1 711 "gene" "developmentally-regulated plasma membrane polypeptide" "AJR22360.1" "DREPP"
"1...699" "AB702944.1" 1 669 "gene" "small RNA 2'-O-methyltransferase" NA "HEN1"
"1...700" "AB702943.1" 1 669 "gene" "small RNA 2'-O-methyltransferase" NA "HEN1"
"1...701" "HG983331.1" 1 1350 "gene" "SANT/HTH Myb transcription factor" NA "SANT/HTH Myb"
"1...702" "JX987081.1" 1 1611 "gene" "sodium/hydrogen exchanger 1" "AGS56985.1" "NHX1"
"1...703" "KP771975.1" 1 2982 "gene" "NAD(+) ADP-ribosyl transferase" "AJV21328.1" "PARP1"
"1...704" "KJ636446.1" 1 618 "gene" "Rab GTPase" "AJG06868.1" "RabG3c"
"1...705" "KJ636445.1" 1 621 "gene" "Rab GTPase" "AJG06867.1" "RabG3c"
"1...706" "KM410159.2" 1 1449 "gene" "epi-aristolochene dihydroxylase" "AIZ01224.2" "EAH"
"1...707" "HE799297.1" 1 1127 "gene" NA NA "qpt2b"
"2...708" "HE799297.1" 1 27 "CDS" NA NA NA
"3...709" "HE799297.1" 139 275 NA NA NA NA
"4...710" "HE799297.1" 1015 1127 NA "quinolinate phosphoribosyltransferase" NA NA
"5...711" "HE799297.1" 28 138 "intron" NA NA NA
"6...712" "HE799297.1" 276 1014 "intron" NA NA NA
"1...713" "HE799296.1" 1 1314 "gene" NA NA "qpt2a"
"2...714" "HE799296.1" 1 27 "CDS" NA NA NA
"3...715" "HE799296.1" 138 274 NA NA NA NA
"4...716" "HE799296.1" 1202 1314 NA "quinolinate phosphoribosyltransferase" NA NA
"5...717" "HE799296.1" 28 137 "intron" NA NA NA
"6...718" "HE799296.1" 275 1201 "intron" NA NA NA
"1...719" "HE799295.1" 1 1255 "gene" NA NA "qpt1"
"2...720" "HE799295.1" 1 59 "CDS" NA NA NA
"3...721" "HE799295.1" 322 455 NA NA NA NA
"4...722" "HE799295.1" 1143 1255 NA "quinolinate phosphoribosyltransferase" NA NA
"5...723" "HE799295.1" 60 321 "intron" NA NA NA
"6...724" "HE799295.1" 456 1142 "intron" NA NA NA
"1...725" "AJ584638.1" 1 1395 "gene" "geranylgeranyl reductase" NA "chlP"
"1...726" "KF218187.1" 1 638 "CDS" "varicose" "AHH32698.1" NA
"1...727" "KM591915.1" 1 312 "CDS" "histone 4" "AIZ04728.1" NA
"1...728" "KJ626266.1" 1 1053 "gene" "ankyrin repeat domain containing protein 2" "AIY62316.1" "ANKr_2"
"1...729" "KJ626265.1" 1 1044 "gene" "ankyrin repeat domain containing protein 2" "AIY62315.1" "ANKr_1"
"1...730" "AB937979.1" 1 1206 "gene" "glyceraldehyde 3-phosphate dehydrogenase-A" NA "NbGAPDH-A"
"1...731" "KM452915.1" 1 409 "gene" "lanosterol synthase" "AIY33887.1" "LAS1"
"1...732" "KM249875.1" 13 600 "CDS" "serine/threonine-protein kinase BIK1" "AIU96237.1" NA
"1...733" "KM249874.1" 1 780 "CDS" "DWARF" "AIU96236.1" NA
"1...734" "KM085028.1" 1 1050 "gene" "WRKY17" "AIR74899.1" "WRKY17"
"1...735" "HG974538.1" 1 962 "gene" NA NA "NCAPP"
"2...736" "HG974538.1" 963 2771 "gene" "beta-glucuronidase" NA "GUS"
"1...737" "KJ755869.1" 1 2265 "CDS" "putative geranyllinalool synthase" "AIL54747.1" "GLS"
"1...738" "KJ406179.1" 1 2817 "gene" "chloroplast ATP-dependent Clp protease chaperone protein" "AIM41271.1" "ClpC2B"
"1...739" "KJ406178.1" 1 2979 "gene" NA NA "ClpC2A"
"2...740" "KJ406178.1" 97 2823 "CDS" "chloroplast ATP-dependent Clp protease chaperone protein" "AIM41270.1" NA
"1...741" "KJ406177.1" 1 3014 "gene" NA NA "ClpC1B"
"2...742" "KJ406177.1" 114 2885 "CDS" "chloroplast ATP-dependent Clp protease chaperone protein" "AIM41269.1" NA
"1...743" "KJ406176.1" 1 2721 "gene" "chloroplast ATP-dependent Clp protease chaperone protein" "AIM41268.1" "ClpC1A"
"1...744" "JQ890096.1" 1 1458 "CDS" "S-adenosyl homocysteine hydrolase" "AFK08605.1" "SAHH"
"1...745" "KJ608353.1" 93 1274 "CDS" "stearoyl-acyl carrier protein desaturase C" "AIC36758.1" NA
"1...746" "KJ608352.1" 138 1325 "CDS" "stearoyl-acyl carrier protein desaturase B" "AIC36757.1" NA
"1...747" "KJ608351.1" 84 1271 "CDS" "stearoyl-acyl carrier protein desaturase A" "AIC36756.1" NA
"1...748" "KF841443.1" 1 483 "gene" "pathogenesis-related protein PR-10" "AIE17036.1" "PR-10"
"1...749" "KJ877185.1" 1 1827 "gene" "domains rearranged methyltransferase 1" "AID81983.1" "DRM1"
"1...750" "KJ169550.1" 1 576 "gene" "C3HC4-type RING finger protein" "AHW48349.1" "ZFP1"
"1...751" "AB894320.1" 1 1359 "gene" "putative aminoacylase" NA "NbACY"
"1...752" "KC453971.1" 1 2706 "gene" "chromomethylase 3" "AGH70220.1" "CMT3-2"
"1...753" "JQ965931.1" 1 2303 "gene" NA NA "CMT3"
"2...754" "JQ965931.1" 81 2303 "CDS" "chromomethylase 3" "AFK80345.1" NA
"1...755" "KF318459.1" 1 2441 "gene" "chloroplast polyribonucleotide nucleotidyltransferase" "AGS83477.1" "PNPase"
"1...756" "KC631823.1" 1 256 "5'UTR" NA NA NA
"2...757" "KC631823.1" 257 2410 "CDS" "putative boron transporter" "AGJ84334.1" NA
"3...758" "KC631823.1" 2411 2608 "3'UTR" NA NA NA
"1...759" "KF668648.1" 1 1299 "CDS" "NGATHAb" "AHJ58870.1" "NGAb"
"1...760" "KF668647.1" 1 1191 "CDS" "NGATHAa" "AHJ58869.1" "NGAa"
"1...761" "JQ519194.1" 1 651 "CDS" "RabE1" "AFI98561.1" "GTPase"
"1...762" "KJ200294.1" 1 420 "gene" "thioredoxin h protein" "AHW40458.1" "Trxh1"
"1...763" "HG938364.1" 1 1050 "gene" "Ankyrin repeat domain containing protein" NA "ANK"
"1...764" "HG938363.1" 1 1737 "gene" "Ascorbate oxidase" NA "AO"
"1...765" "KJ530763.1" 1 1698 "gene" NA NA "CMT3"
"2...766" "KJ530763.1" 1 1199 "regulatory" NA NA NA
"3...767" "KJ530763.1" 1200 1509 "mRNA" NA NA NA
"4...768" "KJ530763.1" 1633 1698 NA "chromomethylase 3" NA NA
"5...769" "KJ530763.1" 1496 1509 "CDS" "chromomethylase 3" "AHW46972.1" NA
"1...770" "KJ501088.1" 1 1395 "gene" "snRNA-activating protein complex subunit" "AHW29574.1" "SNAPc"
"1...771" "KJ190939.1" 1 1908 "gene" "suppressor of gene silencing 3" "AHV82104.1" "SGS3"
"1...772" "AB818894.1" 1 804 "CDS" "phosphatidic acid phosphatase 2" NA NA
"1...773" "KF990999.1" 1 1647 "gene" "sesquiterpene synthase" "AHM10157.1" "TPS1"
"1...774" "JX402081.1" 1 567 "CDS" "regulator of gene silencing" "AFU81780.1" "Nbrgs-CaM"
"1...775" "KF907829.1" 1 771 "gene" "putative small heat shock protein" "AHJ11177.1" "sHsp"
"1...776" "AB898787.1" 1 1083 "gene" "nuclear pore complex protein Seh1b" NA "NbSeh1b"
"1...777" "AB898786.1" 1 978 "gene" "nuclear pore complex protein Seh1a" NA "NbSeh1a"
"1...778" "AB898785.1" 1 3228 "gene" "nuclear pore complex protein Nup107a" NA "NbNup107a"
"1...779" "AB898784.1" 1 3114 "gene" "nuclear pore complex protein Nup96a" NA "NbNup96a"
"1...780" "AB898783.1" 1 2160 "gene" "nuclear pore complex protein Nup75b" NA "NbNup75b"
"1...781" "AB898782.1" 1 2160 "gene" "nuclear pore complex protein Nup75a" NA "NbNup75a"
"1...782" "AB898781.1" 1 1089 "gene" "nuclear pore complex protein Nup43a" NA "NbNup43a"
"1...783" "AB898780.1" 1 5625 "gene" "nuclear pore complex protein Nup205a" NA "NbNup205a"
"1...784" "AB898779.1" 1 4461 "gene" "nuclear pore complex protein Nup155b" NA "NbNup155b"
"1...785" "AB898778.1" 1 4461 "gene" "nuclear pore complex protein Nup155a" NA "NbNup155a"
"1...786" "AB898777.1" 1 1323 "gene" "nuclear pore complex protein Aladin-b" NA "NbAladin-b"
"1...787" "AB898776.1" 1 1323 "gene" "nuclear pore complex protein Aladin-a" NA "NbAladin-a"
"1...788" "AB898775.1" 1 1296 "gene" "nuclear pore complex protein CG1b" NA "NbCG1b"
"1...789" "AB898774.1" 1 1290 "gene" "nuclear pore complex protein CG1a" NA "NbCG1a"
"1...790" "AB898773.1" 1 2271 "gene" "nuclear pore complex protein Nup98b" NA "NbNup98b"
"1...791" "AB898772.1" 1 3072 "gene" "nuclear pore complex protein Nup98a" NA "NbNup98a"
"1...792" "AB898771.1" 1 2271 "gene" "nuclear pore complex protein Nup62b" NA "NbNup62b"
"1...793" "AB898770.1" 1 2229 "gene" "nuclear pore complex protein Nup62a" NA "NbNup62a"
"1...794" "AB898769.1" 1 1800 "gene" "nuclear pore complex protein Nup58a" NA "NbNup58a"
"1...795" "AB898768.1" 1 1080 "gene" "nuclear pore complex protein Nup54a" NA "NbNup54a"
"1...796" "AB898675.1" 1 1677 "gene" "nuclear pore complex protein NDC1b" NA "NbNDC1b"
"1...797" "AB898674.1" 1 1677 "gene" "nuclear pore complex protein NDC1a" NA "NbNDC1a"
"1...798" "AB898673.1" 1 3924 "gene" "nuclear pore complex protein Nup133b" NA "NbNup133b"
"1...799" "AB898672.1" 1 3924 "gene" "nuclear pore complex protein Nup133a" NA "NbNup133a"
"1...800" "AB898671.1" 1 1008 "gene" "nuclear pore complex protein Nup35b" NA "NbNup35b"
"1...801" "AB898670.1" 1 1008 "gene" "nuclear pore complex protein Nup35a" NA "NbNup35a"
"1...802" "AB898669.1" 1 5916 "gene" "nuclear pore complex protein Nup188b" NA "NbNup188b"
"1...803" "AB898668.1" 1 5910 "gene" "nuclear pore complex protein Nup188a" NA "NbNup188a"
"1...804" "AB898667.1" 1 5826 "gene" "nuclear pore complex protein gp210b" NA "Nbgp210b"
"1...805" "AB898666.1" 1 5811 "gene" "nuclear pore complex protein gp210a" NA "Nbgp210a"
"1...806" "AB898665.1" 1 4461 "gene" "nuclear pore complex protein Nup160a" NA "NbNup160a"
"1...807" "AB898664.1" 1 909 "gene" "nuclear pore complex protein Sec13d" NA "NbSec13d"
"1...808" "AB898663.1" 1 909 "gene" "nuclear pore complex protein Sec13c" NA "NbSec13c"
"1...809" "AB898662.1" 1 906 "gene" "nuclear pore complex protein Sec13b" NA "NbSec13b"
"1...810" "AB898661.1" 1 909 "gene" "nuclear pore complex protein Sec13a" NA "NbSec13a"
"1...811" "AB898660.1" 1 2895 "gene" "nuclear pore complex protein ELYSb" NA "NbELYSb"
"1...812" "AB898659.1" 1 2883 "gene" "nuclear pore complex protein ELYSa" NA "NbELYSa"
"1...813" "AB898658.1" 1 6126 "gene" "nuclear pore complex protein TPRb" NA "NbTPRb"
"1...814" "AB898657.1" 1 6138 "gene" "nuclear pore complex protein TPRa" NA "NbTPRa"
"1...815" "AB897840.1" 1 1044 "gene" "nuclear pore complex protein RAE1b" NA "NbRAE1b"
"1...816" "AB897839.1" 1 1044 "gene" "nuclear pore complex protein RAE1a" NA "NbRAE1a"
"1...817" "AB897838.1" 1 4083 "gene" "nuclear pore complex protein Nup136d" NA "NbNup136d"
"1...818" "AB897837.1" 1 4413 "gene" "nuclear pore complex protein Nup136c" NA "NbNup136c"
"1...819" "AB897836.1" 1 3915 "gene" "nuclear pore complex protein Nup136b" NA "NbNup136b"
"1...820" "AB897835.1" 1 3927 "gene" "nuclear pore complex protein Nup136a" NA "NbNup136a"
"1...821" "AB897834.1" 1 1347 "gene" "nuclear pore complex protein Nup50d" NA "NbNup50d"
"1...822" "AB897833.1" 1 1332 "gene" "nuclear pore complex protein Nup50c" NA "NbNup50c"
"1...823" "AB897832.1" 1 1332 "gene" "nuclear pore complex protein Nup50b" NA "NbNup50b"
"1...824" "AB897831.1" 1 1347 "gene" "nuclear pore complex protein Nup50a" NA "NbNup50a"
"1...825" "AB897830.1" 1 2589 "gene" "nuclear pore complex protein Nup93b" NA "NbNup93b"
"1...826" "AB897829.1" 1 2592 "gene" "nuclear pore complex protein Nup93a" NA "NbNup93a"
"1...827" "AB897510.1" 1 5235 "gene" "nuclear pore complex protein Nup214" NA "NbNup214"
"1...828" "AB897509.1" 1 2445 "gene" "nuclear pore complex protein Nup88b" NA "NbNup88"
"1...829" "AB897508.1" 1 2445 "gene" "nuclear pore complex protein Nup88a" NA "NbNup88a"
"1...830" "HF675000.1" 1764 2480 "gene" "green fluorescent protein" NA "gfp"
"2...831" "HF675000.1" 3292 3843 "gene" "phosphinothricin acetyltransferase" NA "pat"
"3...832" "HF675000.1" 7535 8251 "gene" "green fluorescent protein" NA "gfp"
"1...833" "HQ400943.1" 1 921 "gene" "BTB domain protein" "ADW41580.1" "POB1"
"1...834" "FJ755907.1" 1 1335 "gene" "Rab GDP dissociation inhibitor" "ACN65853.1" "GDI"
"1...835" "AB476645.2" 1 1413 "gene" NA NA "GMD"
"2...836" "AB476645.2" 1 1104 "CDS" "GDP-mannose 4,6-dehydratase" NA NA
"1...837" "JX481914.1" 1 750 "CDS" "Bax inhibitor 1" "AGN54391.1" "NbBI-1"
"1...838" "JX481913.1" 1 300 "CDS" "G protein gamma1 subunit" "AGN54390.1" NA
"1...839" "KF496885.1" 1 495 "gene" "ubiquitin-conjugating enzyme variant" "AHA42253.1" "Suv"
"1...840" "KF496883.1" 1 462 "gene" "Ubc13-type ubiquitin-conjugating enzyme 2" "AHA42251.1" "Ubc13-2"
"1...841" "KF496881.1" 1 462 "gene" "Fen-interacting protein 3" "AHA42249.1" "Fni3"
"1...842" "KF482867.1" 1 882 "CDS" "coilin-like protein" "AHA36703.1" "coilin"
"1...843" "KC625578.1" 1 603 "gene" "eukarytic translation initiation factor" "AHA36685.1" "eIF(iso)4E"
"1...844" "KF460578.1" 1 807 "gene" "photosystem II extrinsic subunit" "AGZ95659.1" "PsbP"
"1...845" "KF437525.1" 1 1836 "CDS" "putative membrane bound NAC transcription factor 2" "AGY49287.1" "NbNTP2"
"1...846" "KF437524.1" 1 1893 "CDS" "putative membrane bound NAC transcription factor 1" "AGY49286.1" "NbNTP1"
"1...847" "KC791157.1" 1 1272 "CDS" "MIP1L1" "AGY48888.1" "NbMIP1L1"
"2...848" "KC791157.1" 1273 1514 "3'UTR" NA NA NA
"1...849" "KC791156.1" 1 1257 "CDS" "MIP1.4b" "AGY48887.1" "NbMIP1.4b"
"2...850" "KC791156.1" 1258 1481 "3'UTR" NA NA NA
"1...851" "KC791155.1" 1 1212 "CDS" "MIP1.4a" "AGY48886.1" "NbMIP1.4a"
"2...852" "KC791155.1" 1213 1382 "3'UTR" NA NA NA
"1...853" "KC791154.1" 1 1257 "CDS" "MIP1.3" "AGY48885.1" "NbMIP1.3"
"2...854" "KC791154.1" 1258 1439 "3'UTR" NA NA NA
"1...855" "KC791153.1" 1 1260 "CDS" "MIP1.2" "AGY48884.1" "NbMIP1.2"
"2...856" "KC791153.1" 1261 1572 "3'UTR" NA NA NA
"1...857" "KC791152.1" 1 1257 "CDS" "MIP1.1b" "AGY48883.1" "NbMIP1.1b"
"2...858" "KC791152.1" 1258 1456 "3'UTR" NA NA NA
"1...859" "JX271901.1" 1 1431 "gene" NA NA "MIP1"
"2...860" "JX271901.1" 1 1263 "CDS" "MIP1.1a" "AFR66645.1" "NbMIP1.1a"
"3...861" "JX271901.1" 1264 1431 "3'UTR" NA NA NA
